translated_content,sentiment
"Good for gambling, excellent performance, value for money, good for streaming too.",positive
"I am not a gamer by a long shot, but I wanted a powerful Intel based CPU on an 'Maxim Matterboard' along with a Ass RTX 4090 GPU. But that was not really the case with me or the many others they installed a high quality 360mm or above them.",positive
"(a) Considering its current price and giving it its range of games (30+ games) and not just 3-4% sloter than the 5800x I would say the best choice for gambling. After the 5800x match even when compared to a Pboed 5800x. I mean when comparing these cpus of games (30+ games) and not just 4-5, it's very good for you to use it.",positive
"went from roots 5800x to this and I don't regret it. Especially with the ddr5 ram at higher speeds, computer flies even faster with editing tasks and modes.",positive
It didn't happen when it was said it was not good,negative
"This one has no graphics processing unit and hene if you use this without graphics card, the bios will not boot.",neutral
I just wanted to upgrade my PC so I could properly load windows 11. This was perfect for what I needed. Give me the ability to upgrade with breaking the bank.,positive
"First I started with the assignment: I asked for it almost mid-September and had a date of arrival for 1 October by paying the dearest shipment (at that time it stayed between 3 to 5 days in a row). When I arrived at the delivery date, there appeared to me a notification of ""will come today"", but the product didn't even have ""sent"". The next day, they warned me that the product no longer had a date to send and that it would only inform me of it. During the course, I was almost exhausted with almost 1 month and half of the time since it was bought by ENVIO MÁS RAPIDO. After all this situation, I saw that the price was reduced to 5 times.",negative
"I’m replacing my old Haswell i7-4770 PC with a new one with this CPU. It’s at least 7 or 8 hours faster on multithreaded tasks. Probably 4 or 5 hours faster than my work i7 9000 series. You can under lock it to reduce the wattage, but it’s already less watts at idle than the Ryzen 9 7950. Moore’s law is not dead yet!",negative
"This CPU rips. I hear people complain that it runs hot but with some really good thermal paste and the NZXT cracks, this thing doesn't see anything passed 75°C on a heavy load. Definitely recommended.",positive
"After so many years of gambling on and old I7-6700K I finally decided to pull the upgrade trigger this year. I Purchased the most up to date CPU and other components with the hope one will last me as long as the last one did. Above all I think this is a great CPU, however it is a bit frustrated when you try these things.",positive
I'm getting BSOD's. Will not accept XMP profile. Just to run at stock the processor needs 1.7v? I ran 3D Mark cpu test cpu hit 109c!!!!! At stock settings! This list is disappointing.,negative
I'm sorry.,negative
Very good processor that I've been using since 4 years and that allows me to turn again all the major current games (2023),positive
The Intel i512400f with box lift runs at me on a msi 1700 board and 16 gave ram 3200 mz from the corsai and an Rtx 3060 12gb,neutral
"I bought it to replace my old CPU that was broken, his work does it, both for gambling and for daily browsing. Of course for gambling you didn't expect us to play with recent titles, however GTA5 or even in favor of high performances. The temperature doesn't even get too high with the dissipator already in the box. Already a few months ago, I didn't find any sin (for what I do)",negative
It's great if you're trying to make a mid-range PC but you could spend a little more and get the i5-12600k or the i5-13500,positive
Had this for a while and it's performance like it should.,neutral
"He's a good processor in general lines. Compared to an i7 8700 the view is that he deserves it for some things against the other, for example playing. This i5 when it's bad force, makes it better than i7 8700, showing power in opimatic operations and video games where i7 compared to i7 doesn't notice any improvement on the i7 side of i5. It's not bad when it's in use, but when it's in use it's hot, but when it's in there, the temperature is very good, provided it's valves with a good student and fine ventilators, in my case of a NHD14. However, if you're noticed, the performance is very bad, with virtual machines, and with video editing programs like i7, it doesn't have a much better way to protect you, but if you're using it've got it and it doesn't get it.",positive
Stock cools it end,neutral
"Working well, stable and can be overclock - with correct cooling setup. Good price all.",positive
It's not enough for us to buy it from 7th century i7-7700k.,neutral
Processor box was already open. But thank God processor was damaged.,neutral
"Mega powerful. Thought mine was bad so ordered a new one, turns out it was my motherboard and RAM combo.",negative
The parent card indicates an invalid CPU.,neutral
Working fine with GTX 1060 perfectly at mid to high settings,positive
"I'm going to buy from i9-9,800k, and I'm not going to use it in the safe air (now it's a light-free water) and I'm going to use DDR4.",positive
Got this on sale for 7.26k. Really pleased with processor. Heating of provided looks good but sounds badly at touch use. Replaced it with air cooler,positive
"Nothing to say about this little show. I strongly recommend buying the series 13 and not 14, the last thing really is too current... are passed from i9-14900k to 13900k for this thing.",positive
PUBLIC OBJECTIVES. I CAN'T ASSESS THE SAFETY,neutral
Play Video See how it behaves when it makes my collection,neutral
Best,positive
"Second one of these i have purchased-good general processor with integrated graphics that performances like a 6-core,ryzen 5 5600 in gaming",positive
And there's no information about the return.,neutral
Processor working fine.,positive
Not working Chinese products I returned,neutral
This CPU has 24 threads and 16 colours (8E colors and 8P colors) which really makes difference when dealing with 3d graphics and to prevent bottleneck issues Do not cause a CPU and GPU bottleneck as I only get about 45% GPU usage and stay below 10% load in current AA titles like Destination or Call of Duty. CinebenchR23 Benchmarks Using CINEBENCH R23 I got a score of 27552 which is roughly 70% of top performance CPU score of 43640. Using Geek Bench 6 test I got a single core score of 2601 which is roughly 83% of top performance CPU score of 3097 And a multi-core score of 12821% peaking 56%,positive
"♪ Oh, my God ♪",neutral
Exactly WhatI paid for,positive
"Best price in quality for gambling, makes the truth very good by recommending it",positive
search comparisons between i5 9600k vs am rizen 5 3600 on youtube..you know the results,neutral
Work as expected!!!,negative
And a worthy upgrade to my get 6 i7 yet that still pretty good all,positive
"Only con I can think of is the absence of graphic processing on chip, which is not really a big issue as we need a Discrete graphics card at all times",negative
There's no problem with what we're doing.,neutral
Personal cpu for budget buildings,neutral
"The power from phenom (K10) was converted into a low-loaded power supply of 10W that was best suited to the network. To use it, it's better to buy from the old Pascons. It's good to have 6-7 generations of i7 (6700k, 7700). It's a good time to compete with this power at the Ryzen station.",positive
"Decent time, managed to overclock to 5GHz on the stock 1.250 volts stable. Have not tried any video editing yet but gaming performance is great.",positive
Value given by PISS cells.,neutral
This is supposedly a brand new cpu but I saw an orange scratch mark. Probably whatever plating was slightly scratched off to expose a copper surface. I just don't think that that's acceptable for a 300+ dollar cpu. I could buy an xbox series x for that price and what I got a maybe used cpu that was run around the ring a few times.,negative
Good product,positive
"I paid it with my RTX 2070 Super, because my old CPU (R5 3400G) slowed my system down. Now my PC can fully use my GPU with this! I went from fluctuating 50-70fps on GTA 5 max settings 1080p (with common wide frame drops) on my old processor, to consistent 80-100fps on this one. Most night and day difference. My computer is so fast in pretty much every way! I highly recommended this if you can't get your hands on the new Ryzen 5000 series. Intel 10th gene is true the next thing right now, at least before RKL.",positive
"Really great CPU everywhere. Got this to replace an i5 6600k so it was a relatively big upgrade. It was about 35-40% increase in performance on standard clock but this chip overclocked pretty easily. Got it running at 5Ghz on all colours at 1.372V, doesn't touch any more than 80*C below running harsh AVX stress tests as Prime 95. All other stress tests sit ~75*C which I'm happy with. Gaming it normally places around 65*C. (This CPU is parading with a Corsair H110i-GT cooler, 3200Mhz RAM, and MSI z390a-pro Gaming). The game performance is really good in this chip, like a",positive
"I had some issues after install with Windows wanting me to buy it over again. While I was on with Microsoft tech support even they were like, ""that's a check of a setup""...",neutral
"Good option for people who use graphics cards,",positive
"I want CPU Core i7, but I don't play games.",neutral
"Buy this for a new personal PC. My last was an i7 4790K built that got totaled out (crushed) during shipping. After building a new one on a z790i platform, the performance gained was tuning, completely night and day! I cannot say enough about this CPU, and would completely recommend this product!!",positive
My previous processors were i7700 and i5 4590k and for me this is a major improvisation in terms of performance. My RX 580 runs with almost no bottleneck with this processor unlike the other 2.,negative
I set up a system just for computers and not for gambling. So the stars in the review is that the processor works and is doing the intended job.,neutral
Better than 10th has I5 10600. What do you ask for? Motherboards are really price now a days.,positive
1. for use this chip graphics card / disposal card required for mother board,neutral
Stock cools it end,neutral
This Cpu works great with the MSI Hero Z790 mobile. paired with a MSI MEG coreliquid AIO Cpu Cooler and who have any issues with the amount of heat this I9 points out.,positive
Over 3 months in a new building EVGA gaming/general use PC the 10900 performance has performed all expectations with bios (not true overclocking) tuning. Can be reached on demand anytime 10 core over 5200 MHz performance and over 130+ watts and higher peak at max 71c watercooled (however 32/ 4400 RAM limits to less then 2157MHz). [Trade off setup - max 4713MHzCPU with 3140MHz RAM].,positive
"Be using intelligence i3 cpu as I just need a simple computer to surf net, and play some simple games. The internal graphics is enough to power my needs.",neutral
Super,positive
"It was 12,900 KS. It wasn't the price of the goods, but it was the time of export.",neutral
"I bought it unknownly, Coz I had no idea about the graphics card it requires before you can actually start using it. Then I bought 1 gb graphics card in order to see boat logo on my screen",negative
All that you need for PC in 2023,neutral
So I am building my new system starting with I7-13700k upgrade from my pre-building Alienware I7-9700k it came out incredible and fast. Love Intel.,positive
It's a very good processor that will serve you for essential activities but allows you to start burning your own PC and then update it to an i5 or an i7,positive
Works as expected,negative
The only thing that's happened to me is a little destructive.,negative
